date,cp
2014/8/11,2365.349
2014/8/12,2357.052
2014/8/13,2358.901
2014/8/14,2335.945
2014/8/15,2360.635
2014/8/18,2374.562
2014/8/19,2374.768
2014/8/20,2366.14
2014/8/21,2354.244
2014/8/22,2365.364
2014/8/25,2342.863
2014/8/26,2324.092
2014/8/27,2327.595
2014/8/28,2311.278
2014/8/29,2338.287
2014/9/1,2355.317
2014/9/2,2386.46
2014/9/3,2408.838
2014/9/4,2426.224
2014/9/5,2449.259
2014/9/9,2445.224
2014/9/10,2432.433
2014/9/11,2423.454
2014/9/12,2438.358
2014/9/15,2437.189
2014/9/16,2388.765
2014/9/17,2401.326
2014/9/18,2408.664
2014/9/19,2425.211
2014/9/22,2378.92
2014/9/23,2399.462
2014/9/24,2441.864
2014/9/25,2436.965
2014/9/26,2437.201
2014/9/29,2447.799
2014/9/30,2450.988
2014/10/8,2478.383
2014/10/9,2481.955
2014/10/10,2466.789
2014/10/13,2454.946
2014/10/14,2446.562
2014/10/15,2463.874
2014/10/16,2444.395
2014/10/17,2441.732
2014/10/20,2454.711
2014/10/21,2433.391
2014/10/22,2418.641
2014/10/23,2395.936
